INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,DETECTION_METHOD,MANUAL_EDIT,geometry_wkt
Intersection 203,481633.73077597155,7513375.462796286,4.0,3.0,29.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.8213 -22.48624, 116.821052 -22.486037, 116.820961 -22.485928, 116.820961 -22.485883, 116.821077 -22.485775, 116.821758 -22.48564, 116.821905 -22.48564, 116.821904 -22.485857, 116.821534 -22.486241, 116.8213 -22.48624))"
Intersection 204,482201.45659374434,7512174.23774673,1.0,3.0,29.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.827025 -22.497184, 116.826519 -22.496748, 116.826488 -22.496685, 116.826488 -22.496639, 116.826519 -22.496531, 116.826605 -22.496531, 116.82738 -22.496577, 116.82738 -22.496794, 116.82719 -22.497031, 116.827025 -22.497184))"
Intersection 206,482219.75144992635,7513811.586470363,2.0,3.0,29.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.826847 -22.482231, 116.82672 -22.482158, 116.826604 -22.48205, 116.826604 -22.482005, 116.826699 -22.481896, 116.827236 -22.481699, 116.827469 -22.481699, 116.827648 -22.482037, 116.827547 -22.482204, 116.82708 -22.482231, 116.826847 -22.482231))"
Intersection 207,483086.43207387783,7513241.203296323,1.0,3.0,29.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.835609 -22.487543, 116.835478 -22.487466, 116.835429 -22.487421, 116.835381 -22.48733, 116.835235 -22.487014, 116.835201 -22.486937, 116.835201 -22.48678, 116.835435 -22.48678, 116.835898 -22.48701, 116.835898 -22.487227, 116.835886 -22.487466, 116.835837 -22.487511, 116.835755 -22.487543, 116.835609 -22.487543))"
Intersection 208,484481.5512951718,7513499.182301849,1.0,3.0,29.0,4.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.849028 -22.485206, 116.848862 -22.485099, 116.848747 -22.4848, 116.848747 -22.484583, 116.848882 -22.484584, 116.849608 -22.484629, 116.849608 -22.484846, 116.849028 -22.485206))"
Intersection 209,485313.9959577623,7512854.196460671,6.0,3.0,29.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.857216 -22.49103, 116.856775 -22.490725, 116.856776 -22.490508, 116.857528 -22.490328, 116.85759 -22.490328, 116.85761 -22.490513, 116.85745 -22.49103, 116.857216 -22.49103))"
Intersection 210,485815.5037699518,7513118.110161214,3.0,3.0,29.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.862439 -22.488652, 116.861736 -22.488516, 116.861642 -22.488407, 116.861642 -22.488362, 116.861934 -22.487876, 116.862134 -22.487834, 116.862182 -22.48788, 116.86244 -22.488254, 116.862507 -22.488363, 116.862556 -22.488453, 116.862556 -22.488544, 116.862473 -22.488652, 116.862439 -22.488652))"
Intersection 213,517503.53936680837,7509924.167683479,1.0,3.0,29.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((117.169821 -22.51744, 117.16974 -22.517255, 117.169997 -22.516754, 117.170231 -22.516754, 117.170649 -22.517041, 117.170717 -22.51715, 117.170717 -22.517195, 117.170601 -22.517303, 117.169823 -22.51744, 117.169821 -22.51744))"
Intersection 215,484351.7480023247,7518434.727855295,2.0,3.0,28.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.84789 -22.44065, 116.847572 -22.440397, 116.847572 -22.44018, 116.848022 -22.439806, 116.848221 -22.439848, 116.848221 -22.439883, 116.848123 -22.44065, 116.84789 -22.44065))"
Intersection 216,485007.0712519479,7512886.577220492,12.0,3.0,28.0,4.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.853976 -22.490722, 116.853726 -22.490435, 116.853729 -22.49043, 116.854349 -22.489943, 116.854583 -22.489943, 116.854584 -22.490481, 116.854582 -22.490569, 116.854465 -22.490678, 116.854368 -22.490723, 116.853976 -22.490722))"
Intersection 218,505826.4346306961,7510243.85136306,1.0,3.0,28.0,4.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((117.056493 -22.514674, 117.056376 -22.514568, 117.056253 -22.514267, 117.056253 -22.51405, 117.05659 -22.51405, 117.057125 -22.514095, 117.057125 -22.514312, 117.056624 -22.514642, 117.056542 -22.514674, 117.056493 -22.514674))"
Intersection 219,505718.24359586765,7510252.309858197,1.0,3.0,28.0,4.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((117.055667 -22.514629, 117.055143 -22.514177, 117.055143 -22.51396, 117.055229 -22.51396, 117.056004 -22.514005, 117.056004 -22.514222, 117.055832 -22.514542, 117.055715 -22.514629, 117.055667 -22.514629))"
Intersection 220,512198.11238771304,7510885.135293075,4.0,3.0,28.0,4.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((117.118456 -22.508836, 117.118198 -22.508587, 117.118115 -22.508479, 117.118115 -22.508434, 117.118232 -22.508325, 117.118654 -22.508176, 117.11878 -22.508173, 117.119045 -22.508189, 117.119045 -22.508406, 117.118689 -22.508835, 117.118456 -22.508836))"
Intersection 222,485289.608000759,7512676.68786344,10.0,4.0,27.0,4.0,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((116.857034 -22.49266, 116.856631 -22.49255, 116.856631 -22.492468, 116.856826 -22.491829, 116.856906 -22.491728, 116.856943 -22.491728, 116.85706 -22.491829, 116.857365 -22.492437, 116.857399 -22.492514, 116.857399 -22.492551, 116.857034 -22.49266))"
Intersection 224,481759.47821518686,7511076.6802924145,1.0,3.0,27.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.822502 -22.507048, 116.82246 -22.507042, 116.822337 -22.506895, 116.822232 -22.506559, 116.822312 -22.506374, 116.822315 -22.506374, 116.823141 -22.506555, 116.823141 -22.506772, 116.822502 -22.507048))"
Intersection 225,482073.91517396295,7513255.979419537,1.0,3.0,27.0,4.0,CENTERLINE_GRAPH,,"POLYGON ((116.82535 -22.487351, 116.825319 -22.487166, 116.825529 -22.486666, 116.825762 -22.486667, 116.826177 -22.48691, 116.826213 -22.487095, 116.826165 -22.48714, 116.826082 -22.487171, 116.825401 -22.487351, 116.82535 -22.487351))"
