INTERSECTION_NAME,INTERSECTION_X,INTERSECTION_Y,GRAPH_NODE_COUNT,MAX_GRAPH_DEGREE,BRANCH_COUNT,DIRECTION_GROUP_COUNT,DETECTION_METHOD,MANUAL_EDIT,geometry_wkt
Centerline Intersection 49,714141.448138665,7647813.675015022,5,5,27,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.063394 -21.259012, 119.063289 -21.258589, 119.063289 -21.258566, 119.063391 -21.25848, 119.063417 -21.258466, 119.064209 -21.258741, 119.064212 -21.258957, 119.063459 -21.259012, 119.063394 -21.259012))"
Centerline Intersection 52,712395.0437060674,7650597.335543392,3,3,27,5,CENTERLINE_GRAPH,,"POLYGON ((119.04667 -21.234226, 119.04606 -21.233937, 119.046057 -21.23372, 119.046776 -21.233486, 119.046824 -21.233485, 119.046893 -21.233592, 119.046922 -21.233656, 119.046853 -21.234135, 119.046738 -21.234199, 119.04667 -21.234226))"
Centerline Intersection 54,712824.3730573503,7650942.534279527,6,3,27,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.0504 -21.230859, 119.050247 -21.230815, 119.050138 -21.230708, 119.050137 -21.230663, 119.050149 -21.230614, 119.050183 -21.230516, 119.050415 -21.230513, 119.051106 -21.230543, 119.051175 -21.230692, 119.051109 -21.23076, 119.050977 -21.230806, 119.050833 -21.230853, 119.0504 -21.230859))"
Centerline Intersection 55,713185.1929466317,7647306.411272532,3,3,27,5,CENTERLINE_GRAPH,,"POLYGON ((119.054567 -21.263907, 119.054451 -21.26388, 119.05419 -21.263473, 119.054232 -21.263288, 119.054681 -21.263098, 119.054715 -21.263088, 119.054912 -21.263095, 119.054913 -21.263162, 119.054729 -21.263796, 119.054682 -21.263877, 119.054615 -21.263906, 119.054567 -21.263907))"
Centerline Intersection 56,713451.7927946921,7650773.381014753,4,3,27,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.056712 -21.232534, 119.056588 -21.232499, 119.05636 -21.23238, 119.056228 -21.23226, 119.056227 -21.232215, 119.05631 -21.232105, 119.056833 -21.231814, 119.05701 -21.231735, 119.057059 -21.231735, 119.057141 -21.231766, 119.057162 -21.231785, 119.057128 -21.231887, 119.056712 -21.232534))"
Centerline Intersection 60,713203.8940401743,7649359.484982344,3,3,26,5,CENTERLINE_GRAPH,,"POLYGON ((119.054421 -21.245408, 119.054372 -21.245364, 119.054337 -21.245288, 119.054308 -21.245216, 119.054168 -21.244735, 119.054183 -21.244547, 119.054414 -21.244545, 119.054815 -21.244722, 119.054818 -21.244938, 119.054617 -21.245334, 119.054421 -21.245408))"
Centerline Intersection 61,714205.418696628,7648217.274614053,2,3,26,5,CENTERLINE_GRAPH,,"POLYGON ((119.064306 -21.255505, 119.06384 -21.255214, 119.063837 -21.254997, 119.064425 -21.254751, 119.064623 -21.254781, 119.064624 -21.254825, 119.064537 -21.255502, 119.064306 -21.255505))"
Centerline Intersection 62,712070.3844109849,7646384.896590013,3,3,25,5,CENTERLINE_GRAPH,,"POLYGON ((119.044131 -21.272162, 119.043664 -21.272136, 119.043505 -21.272124, 119.043502 -21.271907, 119.043815 -21.271621, 119.044012 -21.271572, 119.044061 -21.271616, 119.044367 -21.271942, 119.04437 -21.272159, 119.044131 -21.272162))"
Centerline Intersection 63,712815.4397059068,7647618.283865197,8,3,25,5,CENTERLINE_GRAPH+MANUAL_MOVE,MOVE,"POLYGON ((119.051209 -21.261107, 119.051108 -21.261104, 119.051026 -21.261073, 119.050929 -21.261029, 119.050816 -21.260927, 119.050733 -21.260806, 119.050683 -21.260716, 119.050599 -21.26055, 119.050597 -21.260427, 119.050818 -21.260259, 119.050951 -21.260257, 119.05137 -21.260952, 119.051252 -21.261102, 119.051209 -21.261107))"
Centerline Intersection 67,713869.3319047913,7648138.333385223,13,3,25,5,CENTERLINE_GRAPH,,"POLYGON ((119.061233 -21.256349, 119.061041 -21.256269, 119.060686 -21.255975, 119.060683 -21.255758, 119.061078 -21.25547, 119.061309 -21.255467, 119.061313 -21.255724, 119.061301 -21.255988, 119.061272 -21.256266, 119.061239 -21.256343, 119.061233 -21.256349))"
